PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
12878,15825,UdpSocket,0.0.0.0,66.22.243.58,44122,50004,Discord,UDP
